year	pages	words
1639	76	20620
1640	76	20296
1634	92	25673
1637	76	20706
1640	64	5832
1621	76	20417
1632	348	40910
1631	86	22363
1640	78	21742
1640	76	20781
1610	86	22360
1633	335	73581
1632	304	103717
1631	20	4398
1635	1	418
1636	20	11309
1630	1	366
1640	2	1087
1632	16	5882
1635	13	6594
1635	2	862
1635	36	9229
1639	72	22230
1638	2	1006
1636	78	22070
1635	48	7371
1630	2	1004
1635	1	841
1630	32	7320
1633	108	15898
1635	2	1054
	1	1045
1630	374	55578
	59	7528
1630	360	83908
1633	72	18025
1638	299	58048
1631	70	20038
1640	28	11173
1637	72	22988
1640	65	17122
1640	54	10451
1640	43	6671
1640	420	68006
1640	54	18262
1575	34	7945
1612	70	18276
1618	64	19188
1604	74	8998
1620	142	25097
1616	94	13711
1626	106	13982
1620	139	10551
1600	330	36063
1610	98	23249
1614	180	46347
1603	40	3630
1627	162	49738
1625	310	15953
1607	50	4146
1615	42	12771
1616	206	76743
1620	46	9539
1624	106	27702
1629	94	20351
1622	192	16054
1607	136	48112
1606	57	9049
1629	38	10280
1606	116	33559
1614	60	7542
1620	85	14458
1619	172	23897
1615	1	726
1615	502	184883
1617	38	4842
1608	236	68006
1601	126	26293
1612	46	19870
1608	56	13930
1623	1	473
1629	12	2452
1628	64	20036
1615	1	848
1629	708	443858
1605	108	21894
1620	10	1503
1621	42	13745
1614	84	17172
1615	100	34088
1600	195	46476
1611	93	12935
1618	74	6096
1622	378	221245
1616	364	81252
1626	219	51558
1610	72	19111
1601	230	43776
1628	50	11564
1618	124	40364
1618	826	361244
1600	400	220878
1607	38	11320
1616	142	41605
1600	24	3440
1618	344	95090
1623	72	16173
1626	70	15978
1625	80	16069
1617	26	4241
1601	110	45409
1625	60	14766
1624	38	12564
1621	94	12827
1610	124	30747
1609	98	17352
1627	76	26604
1612	1124	729059
1626	38	9826
1629	264	75361
1611	130	32412
1623	104	37136
1606	118	48385
1603	34	10675
1627	50	17018
1624	244	98653
1600	174	44726
1605	339	82175
1620	94	34420
1624	112	39653
1620	48	12414
1620	56	16160
1612	74	23876
1623	180	62045
1619	148	51032
1621	56	15686
1618	298	109022
1612	38	10605
1614	114	17210
1620	98	34693
1625	22	2716
1620	70	15806
1623	154	50537
1627	40	12503
1614	58	10355
1610	38	6554
1620	44	11289
1604	40	13688
1619	48	6794
1612	144	12373
1628	21	4232
1619	420	141365
1601	81	11285
	346	149021
1601	102	30907
1616	48	12121
1615	58	8567
1603	6	1123
1616	84	15049
1614	514	101375
1604	68	24665
1616	70	12009
1628	98	24252
1625	2	688
1618	26	6503
1602	32	5185
1621	30	5202
1614	220	71030
1604	56	15311
1606	76	21880
1628	90	18482
1627	56	13120
1612	44	12990
1625	238	80479
1622	40	13398
1601	560	182464
1624	130	28175
1603	52	11052
1604	50	11017
1616	192	49590
1616	486	151808
1625	31	6868
1618	56	11263
1639	105	30770
1626	56	9931
1615	282	52205
1623	63	14870
1638	22	4079
1631	6	982
1616	36	6569
1635	78	25625
1615	144	30386
1631	230	60380
1621	222	72399
1615	196	64079
1632	70	9687
