c	city
6	Antwerp
6	Armagh
6	Brownville, N.T. Neb
6	Brownville, N.T. i.e., Nebraska Territory
6	Buckingham
6	Burlington
6	Canton, Mass
6	Darlington
6	Elizabeth-town N.J
6	Ephrata Pa
6	Halifax
6	Harrisburg
6	Holland
6	London i.e. Dublin
6	Lowell
6	Middleborough Mass
6	Middlebury Vt
6	N. London i.e., New London, Conn
6	Nashville, Tenn
6	New-London Conn
6	Newark N.J
6	North Adams, Mass
6	Nueva York i.e., New York
6	Pittsfield, Mass
6	Portsmouth, N.H
6	Pottsville
6	Quebec
6	Raleigh, N.C
6	Rouen
6	S. Omers
6	Schenectady N.Y
6	South Danvers Mass
6	Twickenham
6	Westminster
6	Windsor Vt
6	Winsted
6	Yarmouth Port Mass
5	Amherst
5	Atlanta, Ga
5	Boston New-England
5	Breslau
5	Cantabrigiae
5	Carlisle Pa
5	Claremont, N.H
5	Concord, N. H
5	Cooperstown
5	Dayton
5	Dort
5	Dover N.H
5	Dublin London
5	Dumfries
5	Gettysburg Pa
5	Glocester
5	Hague
5	Jersey City N.J
5	Kilmarnock
5	Lancaster, Pa
5	Lawrence Kan
5	Leicester
5	Limerick
5	London ;and re-printed at Edinburgh
5	Londra i.e. Leghorn
5	Londra i.e. Paris
5	Lynn
5	Mass
5	Middlebury
5	Montreal Québec
5	Montrose
5	México
5	New Bedford, Mass
5	New Orleans
5	New Orleans, La
5	New York ; Albany
5	Newbury-port Mass
5	Parisiis
5	Philadelphia America
5	Portsmouth, New-Hampshire
5	Poughkeepsie N.Y
5	Providence (Rhode-Island
5	Québec
5	Re-printed at Edinburgh
5	Salop
5	Saratoga Springs
5	Sheffield
5	Stamford
5	Syracuse N.Y
5	The Hague
5	Vienna
5	Williamsburg Va
4	
4	Akron
4	Barnstable Mass
4	Bath i.e. London
4	Battle Creek, Mich
4	Bedford
4	Boston, New
4	Bridgeport
4	Camden
4	Chambersburg, Pa
4	Cirencester
4	Danbury
4	Davenport Iowa
4	Delph
4	Douay
4	Easton, Pa
4	Edinburgh printed
4	Guildford
4	Habana
4	Houston Tex
4	Hudson N.Y
4	Ithaca, N.Y
4	Lancashire
4	Lansing
4	Leide i.e. Leiden, Netherlands
4	Lexington
4	London England
4	Londres i.e. Amsterdam
4	Louisville
4	Marietta
4	Massachusetts
4	Memphis, Tenn
4	Middelburgh
4	N London i.e., New London
4	Nashville Tenn
4	New-Brunswick N.J
4	Newburgh N.Y
4	Northampton, Mass
4	Nueva York
4	Peoria, Ill
4	Petersburg Va
4	Pittsfield
4	Reprinted at London
4	Richmond, Va
4	Salem Or
4	Santo Domingo
4	Saratoga Springs N.Y
4	Savannah
4	Schenectady, N.Y
4	St. Louis
4	Sunderland
4	Tamworth
4	Trefecca
4	Wakefield
4	Watertown
4	Whitby
4	Wolverhampton
4	Yorke
3	A London
3	Aberdoniæ
3	Auburn, N.Y
3	Augusta, Ga
3	Baltimori Md
3	Banbury
3	Bath Me
3	Berwick upon Tweed
3	Bethlehem Pa
3	Boston in N
3	Boston printed
3	Boston, N
3	Boston, in New-England
3	Boston; N.E
3	Bristoll
3	Brookfield
3	Brunswick
3	Buffalo, N.Y
3	Bury St. Edmund's
3	Calcutta
3	Canterbury, N.H
3	Colchester
3	Columbia S.C
3	Dedham
3	Dover
3	Doway
3	Drogheda
3	Dubuque, Iowa
3	Edinburgh And reprinted at London
3	Edinburgh Reprinted at London
3	Edinburgh reprinted at London
3	Exeter, N.H
3	Filadelfia
3	Gainsbrough
3	Galway
3	Glascow
3	Goettingen
3	Greenfield, Mass
3	Hage
