year	pages	words
	1	308
	1	438
	1	173
	1	417
	1	262
	1	219
	1	284
	1	421
	1	206
	1	410
	1	209
	1	232
	1	397
	1	318
	1	249
	1	126
	1	406
	1	154
	1	323
	1	234
	1	429
	1	348
	1	401
	1	403
	1	317
	1	152
1786	398	121872
1779	218	51587
1765	150	51464
1791	355	113437
1789	288	85373
1748	378	116345
1765	308	103898
1778	466	154257
1779	204	42587
1798	312	84227
1748	404	119633
1748	357	109712
1779	255	51553
1779	228	49161
1794	355	113703
1748	374	111537
1778	405	126105
1798	311	90021
1737	6	1467
1765	351	123951
1737	6	1639
1748	472	144346
1737	5	1190
1737	6	1534
1737	6	1794
1717	48	19003
1748	370	110953
1737	6	1555
1737	6	1506
1748	399	124551
1737	6	1800
1748	342	102444
1776	499	276248
	229	31257
1788	24	9146
	24	5252
	244	32559
1762	264	78762
1753	174	19954
1785	108	21025
1777	70	18911
1774	371	107148
1762	282	77970
	248	32574
1710	1	134
	4	1244
1767	123	10650
1727	1	2741
1756	158	38633
1778	192	39213
1744	224	63247
1702	28	4552
1796	85	27557
1772	328	96787
1772	329	94027
1772	329	91927
	55	7992
	340	161401
	125	31676
1750	70	19780
1715	175	51629
	319	151950
1735	24	4064
1705	66	15859
	4	1525
1750	39	6905
	1	255
1756	243	40594
1708	24	9841
1772	335	94298
	1	456
	193	39842
1758	29	3803
	8	1292
1763	6	1557
1772	325	94154
1750	99	11183
1750	6	546
	2	676
	8	1659
1750	92	19107
1768	753	640266
1768	320	50790
1768	445	65048
1768	458	114773
1768	406	74787
1768	391	68906
1768	503	93211
1768	345	60386
1768	475	95348
1722	5	948
1765	224	35946
1768	360	64843
1768	431	82037
1732	34	6206
1768	441	81082
1746	78	7275
	16	6375
	21	3974
1768	390	74598
1740	260	55231
1783	60	8989
1796	508	117559
1796	481	107455
1703	411	105635
1719	301	62880
	8	1580
1743	7	876
1742	63	13586
1732	32	6072
1738	66	8173
1774	241	46427
1753	200	21728
1743	20	4142
	1	233
1796	482	114352
1796	489	110755
1774	186	36678
1703	376	98429
1774	160	31431
	218	36476
1797	190	21002
1721	62	4273
1777	94	11358
1798	45	4212
	1	93
1768	207	32762
1793	70	6654
1792	31	6417
1796	121	12513
1797	295	47494
1763	49	4902
1781	186	51114
1750	74	20959
1768	476	81697
1775	704	204656
1768	472	79442
	39	3155
1763	52	5494
1795	61	8280
1797	293	51973
1764	282	56148
	65	13292
1764	446	90714
1761	197	42883
1772	236	96845
1751	251	77214
1796	84	17983
1772	252	105833
1760	323	60835
1763	303	95013
1761	176	39028
1790	403	123381
1780	287	51117
1780	311	93830
1779	362	65028
1737	24	5301
1712	24	4369
1735	60	11171
	2	715
1788	348	71437
1738	34	5657
1736	24	5115
1739	24	4280
1782	62	10879
1737	24	3814
1749	47	14283
1735	48	8440
	63	21942
	4	2051
1739	48	8229
1772	582	127335
1766	320	47904
	16	4035
	2	773
	16	4656
1777	34	10613
1762	66	17579
1751	13	1591
1766	316	47483
1773	72	14846
1768	51	10175
1714	28	9179
1762	67	24488
1782	50	12994
	25	7703
1718	77	11143
1771	48	11832
1773	24	3946
1771	35	6676
1713	118	35740
1773	46	6449
1774	36	3454
1757	96	64128
1793	36	6491
1767	72	21489
1766	36	5717
1757	308	152623
1795	456	77320
1727	56	13827
1780	48	5142
1751	48	14141
1794	46	13764
	8	1600
1727	48	10733
1787	105	12837
1752	84	17816
1747	98	15938
1774	194	39311
1753	84	19794
	24	8381
1796	26	7622
	608	300486
	561	266952
	609	297992
	1	635
	1	627
	1	774
	1	671
	1	665
	1	391
	1	469
	1	1175
	2	701
	1	443
	1	273
	1	705
	1	190
	1	503
	1	1080
	1	486
	1	754
	1	1160
	1	514
	1	1169
	1	300
	1	1195
1715	1	386
	1	794
	1	627
	1	761
	2	667
	2	1733
	1	753
	1	702
	1	564
	1	1093
	1	533
	1	882
	1	781
	1	1004
	1	691
	1	966
	1	1190
	1	1005
	1	614
	1	925
	2	1443
	1	1370
	1	679
	3	1630
	2	1423
	1	771
	1	1045
	1	114
	15	2169
1748	308	36271
1738	166	29992
	1	946
1733	24	2860
	86	80006
1798	78	17125
1726	16	2450
1728	32	4937
	16	2309
1726	16	2057
1736	111	30935
1771	72	6766
1727	30	4485
1799	361	114663
1725	15	2470
1725	15	2159
1728	16	2469
1790	97	25067
	73	9538
1790	163	31563
1751	219	43865
1793	301	46535
1751	221	40127
1769	426	89241
1793	62	19342
1785	97	33050
1788	31	7084
1760	72	21313
1760	403	113988
1769	423	86821
1790	15	3679
	53	13801
1799	409	134588
1769	428	91090
1752	189	36974
1755	133	41628
1752	219	43848
1752	223	47482
	237	38896
	314	40230
	219	75507
	259	42887
1771	424	75960
1775	250	52013
	293	48784
1793	484	96815
	249	51073
1782	350	107444
1786	209	32115
1760	484	98440
1793	399	146658
1765	226	52038
1777	39	3281
1746	312	66616
	424	140624
1790	312	78337
1799	25	6152
1789	239	60003
	482	195974
1790	310	81410
1756	240	43935
1761	516	104008
1773	323	102808
1761	473	95157
1761	378	76304
1761	429	84854
1761	464	95666
1761	399	81053
1800	378	89554
1772	328	124584
	32	7375
	24	4538
1729	608	267001
1759	147	41417
1751	228	80933
1761	340	107748
1751	216	76144
1797	292	77981
	268	47627
1762	256	97557
1763	226	83189
1742	367	139304
1741	291	60571
1721	325	59787
1795	336	77473
1721	445	86107
1783	427	90408
1789	210	45554
1763	186	69498
1768	9	791
1750	6	537
1786	361	82979
1721	266	44910
1759	43	7729
1745	364	65874
1783	340	58622
1716	46	6722
	47	9973
1781	261	45877
1715	37	6619
1745	457	77789
1777	133	16862
1800	227	55368
1759	221	65944
	61	13825
1754	434	130500
1763	322	76448
1797	121	28398
1777	423	91146
1776	250	57419
1777	703	175921
1733	96	27552
1800	217	50465
1777	339	59151
1766	80	25158
1772	202	53120
1795	259	57133
1776	240	54939
1789	192	48175
1789	119	11944
1785	303	90161
1785	250	177028
1789	169	18624
1772	190	46521
1788	61	19736
1794	197	38491
1796	288	74487
1774	368	70976
1772	481	154474
1793	130	33886
1784	198	47713
1736	164	42178
1799	122	15590
1793	143	47196
	178	33117
1784	159	36304
1770	292	45225
1778	190	58841
1773	340	62058
	32	7397
1751	481	83806
1751	635	121632
1751	455	78987
1775	140	15348
1768	369	53938
1788	363	69902
1793	258	59402
1758	216	39553
1768	393	62828
1756	291	43526
1756	42	9947
1779	160	21730
1750	192	46919
1784	275	57410
1797	145	17333
1756	267	63749
1763	72	19917
1755	87	25984
1722	12	3249
1716	247	41632
1756	107	34910
1755	84	25752
1755	170	35333
1758	216	40095
	8	1399
1755	330	72035
1777	24	5003
1798	353	56784
1784	21	4239
1798	282	47177
1800	213	48645
	8	1169
	36	5025
	99	27071
1798	252	40844
	8	1159
1790	86	11768
	75	15646
	211	43401
	65	15309
1791	157	22249
1778	72	7900
1755	336	97423
	23	3921
1755	329	96407
1767	265	60550
1755	333	100209
1762	287	105497
	1	175
1755	327	96183
1781	24	2918
1767	276	62962
	127	38115
	112	33620
1739	503	120717
1792	198	21869
1792	220	24447
1726	110	10912
1789	226	33609
1729	144	21301
1785	126	14393
1785	248	34473
1776	105	10156
1789	213	31453
	120	37012
	481	145003
1761	370	91210
1777	338	119190
1789	229	35468
	104	31178
1764	67	8869
1761	390	112224
1712	363	71232
1779	114	16440
1728	68	11656
1751	38	5647
1714	39	9009
1763	134	22965
1762	111	14518
1715	8	1095
1728	25	4669
1769	70	6241
1725	12	1975
1799	95	8166
1714	250	47186
	60	20092
1739	289	59240
	7	2175
	79	16039
1771	67	17190
1799	302	95091
	830	236821
1764	325	111741
1760	54	9936
1722	40	12645
1750	342	102874
1773	319	92448
1773	324	91911
1773	401	116574
1749	81	19405
1794	229	83054
	32	11614
1774	147	31880
	40	10373
1745	42	9943
	35	14399
	42	17445
	178	50238
	83	27395
	160	35289
1741	46	11033
	323	138568
1792	360	112763
1771	522	164219
1719	56	13726
	120	42606
1727	562	170204
1727	76	19900
1771	452	197571
	48	13176
	32	6091
1794	17	6982
	55	17234
	34	7723
	38	8962
1757	144	36721
1742	23	5874
1797	15	7134
	100	37060
	32	11980
	171	39587
	12	4167
	30	4935
1736	51	15223
1727	66	22025
	86	18391
	72	34307
1740	28	7811
	40	7871
1795	437	282759
1800	51	12141
1732	31	10027
1795	32	9472
	36	7911
1756	62	13863
1776	31	8275
1743	49	19761
	30	9296
1761	73	17816
1763	37	8773
1775	32	7969
1761	35	9487
	26	9593
	360	129733
1779	160	50321
1706	96	20370
	22	5631
	496	138886
1799	64	18671
	80	29077
	30	9231
	23	7336
1782	91	42899
1731	182	43760
	371	136933
1737	31	7382
1777	306	116454
1739	79	17175
	15	6727
1775	240	100769
	544	123691
	129	21182
	43	11930
1761	24	5890
	23	5592
	32	12466
1753	46	10874
	166	41710
1720	38	10359
1715	48	10282
1799	325	113548
	29	6812
1777	438	192138
	20	5380
	28	7151
1716	507	137908
	40	8863
1719	33	8541
	40	10217
1740	27	8647
	40	9422
	26	8886
1792	12	2766
1799	29	8359
	23	6263
1795	16	6031
1795	304	99296
1794	383	128339
1790	236	85563
1795	353	130429
1795	322	114591
1795	439	154931
1746	84	26837
1788	103	8458
	202	31621
	88	27431
1704	242	41424
1782	313	55749
1799	8	860
1777	91	13550
	232	32562
1781	288	38763
1774	255	35417
	24	5284
1745	8	642
	8	2022
1790	262	40134
1752	361	60228
1762	8	1883
1752	389	71727
1764	4	605
1794	1	450
	8	1215
1766	8	1663
1787	24	4450
1713	11	1134
	6	1078
	24	4001
	8	1202
	9	1568
1774	244	34239
	8	1009
	2	1712
1800	173	17018
1764	72	18473
1771	66	6191
	1	208
1759	64	5997
	32	9874
1788	72	22492
1788	287	59395
1797	323	57661
	1	164
	1	317
1753	30	3898
1755	65	20542
1766	104	31888
	2	386
	1	313
1798	115	23979
1800	16	2249
1755	72	20816
	186	85833
	409	263347
	457	279152
	521	327395
1751	381	82515
	166	41098
1799	207	30272
1763	256	58696
1751	350	89633
1789	381	90995
1799	232	27919
1800	295	121190
1763	246	51044
1790	289	66667
1783	226	46279
1792	339	97490
1763	235	52628
1759	373	117570
1759	323	107107
1768	397	122909
1759	374	133341
1759	403	133696
1761	310	88007
1761	290	76354
1766	155	32802
1766	172	29810
1777	276	47251
1777	351	58592
1797	35	7897
1732	28	6086
1715	126	26531
	104	28222
1720	14	3078
1789	24	7790
1736	23	7593
	60	27849
1714	40	8225
	49	10513
	301	58667
1774	31	11916
1717	23	5512
	48	9981
1800	143	34439
1729	35	10945
	26	6395
	14	3968
1742	31	7038
	23	5957
	32	38024
1795	31	7726
1795	348	121259
1713	254	60775
1748	43	10488
1715	203	54439
	127	48185
1795	287	97219
	376	117363
1798	242	86044
	192	47088
1798	30	8818
1754	160	33301
	24	5867
1758	44	14639
1763	276	105562
	356	150063
	176	47784
	136	47869
1797	132	27336
	92	29930
1796	372	185527
1785	294	50847
1739	53	5515
1779	337	52607
1736	434	103130
1779	345	52378
1714	16	1327
1785	297	53292
	76	26389
1797	138	15399
1779	314	46909
	155	28464
1790	404	104095
	8	1923
	74	18066
	205	80101
	9	3593
1760	315	108219
1758	219	54871
1783	361	127318
	66	21723
	22	5076
	30	9340
	18	4887
	54	14767
1766	61	19876
	43	6930
	73	15544
1728	419	117957
1797	12	3289
	40	17074
	30	7093
	64	23136
	22	5295
1769	26	7128
1734	43	12378
1718	61	16007
	26	8040
	14	5797
	42	9387
1798	24	6782
1773	168	64636
1766	39	7887
1739	40	10808
	118	36043
	70	21800
	68	23659
	25	8449
1732	120	29664
	28	8139
	76	17707
1741	205	31486
	41	23930
1794	223	45551
	80	24096
1716	32	7134
	15	4663
	35	9142
	186	52725
	204	39985
	154	47243
1768	28	6210
	70	16537
	16	4684
	32	8122
	156	53874
	318	77466
	28	8293
	38	14104
	303	153006
	221	39520
1772	72	28242
1799	45	9450
	48	8211
	39	7899
	35	10769
	25	5529
1716	70	16249
1759	39	9094
	31	5616
	32	11296
1800	18	5157
	8	2448
	29	5830
1709	44	15343
1703	28	10694
1795	39	12635
	25	6426
	22	7021
	414	150077
	19	3315
1796	265	86303
	535	198007
	24	7587
1747	131	27499
1783	333	117158
1783	345	122702
1775	334	121024
1793	308	50219
1772	289	35795
1783	359	127867
1740	362	72472
1772	313	36832
	276	91465
1758	318	122094
1775	288	111242
1775	308	123896
1775	353	140371
1757	393	99035
1757	451	168501
1792	352	138709
1757	406	156994
1768	279	58779
1757	399	156433
1796	217	49441
1753	470	96789
1757	378	142282
1773	205	103030
1797	411	122650
1753	358	89831
	305	106356
1757	380	132764
	329	118580
	321	112955
1757	397	152003
1757	410	129321
1784	405	135522
	322	115982
1787	267	76565
1796	287	81245
1790	486	160608
1794	385	132577
1794	390	133642
1788	335	75660
1800	221	27633
1778	310	109104
1743	417	95291
1792	291	47840
1776	354	115119
1788	247	38561
1776	391	131326
1776	365	122114
